% Model:              Transmission rate calculation.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 9 2025, 16:06
% Table:              目标表面 - 目标表面
% B1 (mm)                freq (Hz)                abs(comp1.w) (m)
60                       29000                    7.99727190547583E-7
60                       30000                    1.1169707860155358E-6
60                       31000                    1.3807116055560503E-6
60                       32000                    1.1845211758554526E-6
60                       33000                    9.79302712121224E-7
60                       34000                    1.0547996077848563E-6
60                       35000                    1.62881273585389E-6
60                       36000                    1.7257513650783585E-6
60                       37000                    9.579787185939963E-7
60                       38000                    7.472618969851041E-7
60                       39000                    8.050643850511006E-7
60                       40000                    1.2315517848186036E-6
60                       41000                    1.870971853681338E-6
60                       42000                    1.0514387645644045E-6
60                       43000                    7.636459374704833E-7
60                       44000                    7.736333234685711E-7
60                       45000                    1.0951919083169434E-6
60                       46000                    1.7635004963217415E-6
60                       47000                    1.047420164525935E-6
60                       48000                    6.988175886035514E-7
60                       49000                    6.347045010291476E-7
60                       50000                    7.581074110754663E-7
60                       51000                    1.2376115022549531E-6
60                       52000                    1.6139830584968052E-6
60                       53000                    9.435754745033183E-7
60                       54000                    7.178116899704679E-7
60                       55000                    7.285911279415396E-7
60                       56000                    9.887207584392303E-7
60                       57000                    1.7708291639716602E-6
60                       58000                    1.3592815584714355E-6
60                       59000                    8.297760602300176E-7
60                       60000                    6.913860530898733E-7
60                       61000                    7.44346672411155E-7
60                       62000                    1.042466490623227E-6
60                       63000                    1.5729533990220032E-6
60                       64000                    1.0728926538925534E-6
60                       65000                    7.174661272410455E-7
60                       66000                    6.171795050068415E-7
60                       67000                    6.639730524374185E-7
60                       68000                    9.043734384184255E-7
60                       69000                    1.3986872573840753E-6
60                       70000                    1.0890220256678864E-6
60                       71000                    7.196018248151883E-7
60                       72000                    6.014320550473434E-7
60                       73000                    6.233551627389778E-7
60                       74000                    7.996069719716822E-7
60                       75000                    1.1648201638967504E-6
60                       76000                    1.018095816216837E-6
60                       77000                    6.76626148091616E-7
60                       78000                    5.390759003099384E-7
60                       79000                    5.183274039721201E-7
60                       80000                    5.959482698174877E-7
60                       81000                    8.308193730844274E-7
60                       82000                    1.2639517901245396E-6
60                       83000                    1.1232026075557467E-6
60                       84000                    8.038566068851114E-7
60                       85000                    6.921154268941481E-7
60                       86000                    7.219301352617524E-7
60                       87000                    9.103438905863608E-7
60                       88000                    1.3523349558706724E-6
60                       89000                    1.5065848345908188E-6
60                       90000                    1.03913598286188E-6
60                       91000                    7.911045750499725E-7
60                       92000                    7.181117025755605E-7
60                       93000                    7.662138777080644E-7
60                       94000                    9.642199510761865E-7
60                       95000                    1.3959670250396305E-6
60                       96000                    1.5984613644107102E-6
60                       97000                    1.1736340493631292E-6
60                       98000                    9.203615032995828E-7
60                       99000                    8.615470672073159E-7
60                       100000                   9.642581330155743E-7
61                       10000                    5.03937846648154E-7
61                       11000                    1.659078835411359E-6
61                       12000                    6.247270959732819E-7
61                       13000                    4.6388932453899644E-7
61                       14000                    1.1407019390497387E-6
61                       15000                    6.18271763438926E-7
61                       16000                    3.605589667293677E-7
61                       17000                    4.6355951763757446E-7
61                       18000                    1.3467406195554734E-6
61                       19000                    4.906215445979872E-7
61                       20000                    3.791536162835156E-7
61                       21000                    6.010064011019036E-7
61                       22000                    7.579915237024206E-7
61                       23000                    3.4881252013032867E-7
61                       24000                    3.249049464513135E-7
61                       25000                    5.340014165432562E-7
61                       26000                    8.242857426457589E-7
61                       27000                    5.99911967816412E-7
61                       28000                    6.186397383127835E-7
61                       29000                    8.108221202889505E-7
61                       30000                    1.121729915640867E-6
61                       31000                    1.3712201235201243E-6
61                       32000                    1.1729093223908947E-6
61                       33000                    9.655857809562856E-7
61                       34000                    1.0295336454149045E-6
61                       35000                    1.5693288225317943E-6
61                       36000                    1.7683714073169951E-6
61                       37000                    9.792994925393245E-7
61                       38000                    7.538586595106952E-7
61                       39000                    8.030817496937354E-7
61                       40000                    1.213998362825617E-6
61                       41000                    1.9028720951366081E-6
61                       42000                    1.075305980087085E-6
61                       43000                    7.711214264244742E-7
61                       44000                    7.737585259364341E-7
61                       45000                    1.0848615071759927E-6
61                       46000                    1.7534474955510646E-6
61                       47000                    1.0477059203256675E-6
61                       48000                    6.922617367252275E-7
61                       49000                    6.22095195920315E-7
61                       50000                    7.324118086090528E-7
61                       51000                    1.1778028008385808E-6
61                       52000                    1.7008265680071414E-6
61                       53000                    1.0006002583879302E-6
